frame,Mass,x,y
0,0,584.24414,143.16121
0,1,586.06165,255.20135
1,0,584.21796,143.31667
1,1,586.0776,255.25537
2,0,584.3783,143.04025
2,1,586.2942,255.05794
3,0,584.52637,142.44766
3,1,585.9845,254.85162
4,0,584.3301,142.1479
4,1,586.2064,254.48625
5,0,584.19836,142.36305
5,1,585.81415,254.37598
6,0,583.9439,142.18129
6,1,585.54254,254.4022
7,0,583.9084,142.98468
7,1,585.43256,255.08823
8,0,584.96246,144.00269
8,1,585.7055,256.01724
9,0,584.1734,144.77338
9,1,586.1508,257.07126
10,0,584.3511,144.78682
10,1,586.2087,257.06625
11,0,584.47534,144.8488
11,1,586.09174,257.01715
12,0,584.6105,144.95576
12,1,585.9063,257.19815
13,0,584.1827,145.34544
13,1,585.7739,257.6823
14,0,584.1944,146.19038
14,1,585.9234,258.61395
15,0,584.26404,146.51962
15,1,586.00415,259.2402
16,0,584.01715,148.30974
16,1,585.2591,260.62497
17,0,584.1981,150.704
17,1,585.3989,263.04947
18,0,583.8133,153.58266
18,1,585.47546,265.88696
19,0,583.4177,156.9483
19,1,585.74,269.17316
20,0,583.2553,158.89673
20,1,585.5534,271.05865
21,0,582.5612,163.65671
21,1,585.36743,275.58017
22,0,581.44775,169.61389
22,1,585.3411,281.36963
23,0,579.6589,176.14407
23,1,586.0017,287.54022
24,0,576.6301,184.55708
24,1,585.65155,295.43878
25,0,572.92224,197.93486
25,1,584.97565,308.19644
26,0,568.4909,207.63727
26,1,585.8321,316.18637
27,0,562.67413,218.00456
27,1,586.0743,325.69202
28,0,555.07404,229.28465
28,1,585.17444,334.86847
29,0,546.8231,240.29713
29,1,583.9821,343.7977
30,0,540.53046,246.17145
30,1,583.09106,346.50525
31,0,529.60925,256.1982
31,1,581.16943,352.7855
32,0,517.1265,265.90643
32,1,576.32184,356.05118
33,0,503.327,274.33945
33,1,570.52423,359.37833
34,0,494.81787,278.27756
34,1,566.88464,358.6823
35,0,478.22183,283.86038
35,1,557.2361,358.2008
36,0,461.69727,288.2811
36,1,544.9518,357.37427
37,0,434.87888,290.47665
37,1,523.9664,353.89917
38,0,418.77676,288.669
38,1,507.88126,352.33685
39,0,402.2137,286.57816
39,1,490.96356,350.9004
40,0,386.95822,280.75674
40,1,471.26913,350.3893
41,0,373.20477,274.36578
41,1,453.1805,351.70517
42,0,359.9843,267.61682
42,1,432.05792,351.16266
43,0,348.13647,261.08716
43,1,409.48285,352.91852
44,0,338.71747,253.53528
44,1,387.9689,352.2024
45,0,330.93195,246.28981
45,1,365.22095,350.59543
46,0,326.65796,241.43083
46,1,352.9354,349.03906
47,0,317.82965,231.20032
47,1,315.0913,342.3513
48,0,312.79877,224.74126
48,1,290.70145,333.79126
49,0,310.58713,220.75761
49,1,266.83408,323.22574
50,0,308.3855,215.76982
50,1,243.49771,306.84912
51,0,305.9812,213.30124
51,1,224.36519,289.05182
52,0,306.25485,212.53584
52,1,216.66978,278.998
53,0,306.5249,210.73026
53,1,202.99901,256.2691
54,0,305.58374,209.99011
54,1,196.33209,230.41893
55,0,304.38998,209.82352
55,1,192.90033,199.66615
56,0,306.6027,211.6056
56,1,197.77133,182.16185
57,0,306.15198,212.69788
57,1,208.61534,161.10812
58,0,307.62256,215.78311
58,1,220.87146,145.87724
59,0,309.74655,218.34819
59,1,234.90234,134.66933
60,0,310.09537,219.13528
60,1,243.85455,129.0054
61,0,311.0575,221.46082
61,1,260.9586,122.41415
62,0,314.5493,227.10713
62,1,292.21713,117.914276
63,0,317.28012,230.98244
63,1,310.98352,120.18041
64,0,321.5387,235.12933
64,1,331.3172,125.067116
65,0,325.06384,239.76233
65,1,351.51328,133.51312
66,0,331.41107,244.92282
66,1,371.4828,143.37729
67,0,335.11414,250.8745
67,1,390.60638,156.25613
68,0,337.64795,253.24391
68,1,398.2063,161.96988
69,0,344.7633,259.0632
69,1,419.6703,177.83507
70,0,352.00778,263.06192
70,1,437.4785,194.53206
71,0,367.58264,271.91605
71,1,462.67285,221.64455
72,0,377.4088,275.8646
72,1,476.97864,238.1729
73,0,389.47043,280.95944
73,1,496.09,262.775
74,0,399.05606,285.06537
74,1,507.33127,286.52676
75,0,413.97256,286.9787
75,1,518.34045,311.61322
76,0,427.10654,290.2851
76,1,523.22327,334.93134
77,0,442.1059,290.7824
77,1,525.523,357.44263
78,0,456.9574,288.40463
78,1,519.6308,379.66083
79,0,465.36276,287.9314
79,1,515.03656,384.92212
80,0,479.10898,282.86218
80,1,501.85217,390.97183
81,0,496.95877,277.71417
81,1,484.44412,386.88812
82,0,510.33008,269.6773
82,1,470.14047,372.59485
83,0,526.21735,258.71762
83,1,453.6914,345.39447
84,0,535.1254,251.19304
84,1,447.2273,318.6384
85,0,541.73987,243.98839
85,1,441.49182,290.9453
86,0,548.8761,237.9543
86,1,441.7762,264.786
87,0,551.80634,235.19699
87,1,442.4618,251.65234
88,0,556.52057,229.13817
88,1,443.2046,226.4972
89,0,558.3564,224.63474
89,1,450.24756,202.29054
90,0,561.73755,219.36421
90,1,456.84344,181.19559
91,0,565.03394,215.18686
91,1,474.57086,150.90631
92,0,566.2602,212.63081
92,1,488.2835,134.15602
93,0,568.3818,211.27075
93,1,503.74625,120.75596
94,0,567.3088,210.72104
94,1,511.18716,115.76434
95,0,567.4435,210.00266
95,1,530.5294,107.833206
96,0,567.349,210.17747
96,1,547.12024,102.43151
97,0,567.7555,210.85152
97,1,566.40173,101.91702
98,0,566.8709,212.27039
98,1,584.02997,104.492424
99,0,564.81604,215.49693
99,1,611.6334,117.05928
100,0,563.38336,217.53809
100,1,628.5931,130.24095
101,0,561.8225,219.76128
101,1,639.58453,146.11067
102,0,561.02576,222.48602
102,1,654.597,168.97327
103,0,558.2626,224.98238
103,1,662.10284,190.22311
104,0,555.8253,228.27983
104,1,663.27246,219.38185
105,0,554.6899,232.1983
105,1,661.7348,248.95613
106,0,552.12384,236.38005
106,1,650.8852,276.89597
107,0,548.3143,239.64273
107,1,634.8463,305.93634
108,0,547.263,241.4044
108,1,625.58356,314.49304
109,0,540.0336,248.28563
109,1,585.6668,347.49316
110,0,533.67566,252.50206
110,1,557.1166,360.9815
111,0,526.87885,259.1925
111,1,524.4418,369.51862
112,0,519.46747,264.48398
112,1,492.61224,372.99155
113,0,515.3424,268.97244
113,1,477.71982,372.76556
114,0,505.15546,273.57584
114,1,449.84735,370.98544
115,0,492.7606,281.32648
115,1,421.21317,366.89175
116,0,472.35205,287.2251
116,1,385.2342,356.24603
117,0,457.38956,291.17313
117,1,363.62857,349.47595
118,0,443.33136,292.73502
118,1,341.8938,342.51813
119,0,434.9256,292.70416
119,1,333.082,338.2008
120,0,420.63953,289.67316
120,1,315.13757,331.20642
121,0,403.87607,287.3049
121,1,298.34302,326.1933
122,0,388.47293,282.16782
122,1,284.0193,321.32602
123,0,374.24088,276.78555
123,1,269.5146,316.76303
124,0,354.46988,267.9038
124,1,253.01723,310.66318
125,0,342.58084,259.46652
125,1,243.51324,307.36383
126,0,333.23944,251.339
126,1,235.9395,304.33646
127,0,329.08145,245.2285
127,1,233.48357,301.881
128,0,319.50024,235.31682
128,1,229.18127,299.48352
129,0,313.1902,226.78102
129,1,226.82913,295.29352
130,0,307.37775,218.08295
130,1,225.98961,291.49396
131,0,301.34763,205.05434
131,1,226.77698,286.23526
132,0,298.61407,197.73576
132,1,227.59389,283.57184
133,0,297.17963,191.70541
133,1,230.47777,280.82382
134,0,294.86624,186.43561
134,1,232.60117,277.4666
135,0,293.4601,181.39438
135,1,234.7491,276.79797
136,0,292.18488,178.70384
136,1,238.46957,275.6134
137,0,291.98486,176.10094
137,1,240.93387,275.21622
138,0,291.90295,175.09084
138,1,244.40971,275.78217
139,0,291.31488,174.67708
139,1,246.35757,276.22513
140,0,291.84012,176.56847
140,1,251.5999,280.26154
141,0,292.44135,179.12582
141,1,255.15771,282.89966
142,0,295.08423,182.642
142,1,258.9233,287.1883
143,0,296.43402,188.06653
143,1,262.80292,292.67667
144,0,298.06824,193.24437
144,1,266.80164,298.5429
145,0,298.45004,196.29022
145,1,268.4899,301.59207
146,0,301.8819,202.66472
146,1,273.13925,309.6855
147,0,305.08344,210.31197
147,1,276.8231,316.3711
148,0,311.95355,222.40756
148,1,283.46472,328.46167
149,0,318.3362,230.88063
149,1,289.16757,337.5914
150,0,326.39545,240.33112
150,1,293.81558,345.21835
151,0,332.92398,246.00293
151,1,296.45932,349.58228
152,0,340.58917,256.06125
152,1,302.1459,358.10486
153,0,352.9905,263.8802
153,1,308.25357,365.30066
154,0,366.77704,271.96045
154,1,316.19492,370.93384
155,0,387.98492,282.44666
155,1,329.6854,377.01266
156,0,402.32913,287.5557
156,1,340.87253,378.78894
157,0,418.12592,290.74323
157,1,353.1004,379.60196
158,0,436.10657,291.98682
158,1,367.3901,379.82825
159,0,444.24173,291.92474
159,1,376.01532,378.87598
160,0,458.63904,290.16055
160,1,391.63818,377.4487
161,0,474.59753,285.84576
161,1,409.9279,375.11618
162,0,488.68356,281.28848
162,1,428.55872,373.51947
163,0,507.76654,271.67056
163,1,457.99362,370.1712
164,0,520.0289,264.58835
164,1,479.43927,367.0129
165,0,530.70483,255.7857
165,1,501.21848,363.4879
166,0,539.3613,248.82635
166,1,523.8469,358.23944
167,0,547.0269,240.8347
167,1,546.2003,351.34686
168,0,551.84467,234.22098
168,1,568.63196,342.72482
169,0,558.12555,226.61111
169,1,592.5329,331.75488
170,0,559.5514,223.55301
170,1,601.7592,325.48788
171,0,563.258,218.40347
171,1,622.6061,311.32343
172,0,566.1171,213.63992
172,1,640.3514,293.48618
173,0,569.43884,208.12871
173,1,660.34766,263.85156
174,0,569.92145,205.01314
174,1,671.4324,242.05095
175,0,570.98,203.93411
175,1,676.8083,220.71494
176,0,570.5037,202.73502
176,1,678.33673,199.61848
177,0,570.51196,202.46855
177,1,674.80695,187.99672
178,0,570.8501,202.63896
178,1,672.15814,168.92955
179,0,570.74786,203.20914
179,1,664.64905,153.4385
180,0,570.6053,204.33687
180,1,655.4885,139.52182
181,0,569.62244,208.06529
181,1,636.33136,124.18762
182,0,567.86774,210.30502
182,1,622.21796,116.755264
183,0,565.43317,213.81769
183,1,606.47473,112.7721
184,0,563.8992,217.17891
184,1,589.2661,111.270874
185,0,561.4026,219.93355
185,1,573.55176,113.106544
186,0,559.2807,223.60457
186,1,564.4269,114.38104
187,0,555.52576,228.1387
187,1,548.9128,119.44148
188,0,551.82227,234.54825
188,1,532.58246,126.415924
189,0,543.5723,242.69943
189,1,506.83575,139.30482
190,0,537.7085,249.09044
190,1,490.96964,149.3382
191,0,529.7209,255.12767
191,1,473.16064,160.76505
192,0,521.5707,260.8069
192,1,457.14523,172.07597
193,0,517.63116,264.25824
193,1,449.0497,177.53387
194,0,502.68228,272.82706
194,1,424.64648,195.48471
195,0,491.2556,278.5022
195,1,406.20602,208.60521
196,0,479.61816,282.3573
196,1,387.48737,222.24335
197,0,467.36404,284.6338
197,1,369.1324,235.50407
198,0,454.85287,287.4665
198,1,347.53253,254.15378
199,0,443.20782,288.4307
199,1,331.91852,271.50793
200,0,428.65787,288.16614
200,1,319.0772,288.1051
201,0,414.97165,286.94336
201,1,304.845,306.35284
202,0,408.01404,286.16876
202,1,301.81238,317.5207
203,0,394.1359,282.3095
203,1,299.0082,337.7067
204,0,372.4091,274.18808
204,1,305.2819,363.68286
205,0,359.7809,267.51294
205,1,317.59476,369.47284
206,0,347.9285,260.69583
206,1,332.7538,369.22507
207,0,339.09103,252.11464
207,1,351.41852,360.97476
208,0,334.3934,248.3591
208,1,358.10132,355.93527
209,0,327.0751,239.28413
209,1,375.17386,340.57352
210,0,321.06274,233.65993
210,1,387.80927,321.83936
211,0,316.95087,227.88486
211,1,399.2769,302.2282
212,0,311.704,221.98138
212,1,410.93707,271.97495
213,0,310.77304,218.41655
213,1,416.80478,249.34097
214,0,310.62347,218.16148
214,1,419.16583,239.23819
215,0,308.95932,215.62407
215,1,418.76212,219.04358
216,0,308.03085,214.99826
216,1,417.96597,199.0659
217,0,308.1171,214.89952
217,1,413.0491,181.67224
218,0,309.05914,216.39845
218,1,402.51733,163.14607
219,0,310.87286,219.80496
219,1,388.7075,142.85126
220,0,313.41843,222.77187
220,1,377.3311,133.09503
221,0,316.34555,226.25018
221,1,363.66782,127.352875
222,0,318.5017,228.53873
222,1,356.24115,125.64617
223,0,322.08777,231.75327
223,1,340.42743,124.221504
224,0,324.90137,237.1975
224,1,323.257,127.42791
225,0,332.59314,246.8132
225,1,299.98868,139.704
226,0,338.4612,251.53831
226,1,282.8498,152.78798
227,0,344.785,256.271
227,1,269.30862,171.32614
228,0,351.04,259.69675
228,1,260.28348,192.0211
229,0,357.66998,263.0919
229,1,252.27585,217.23938
230,0,363.3241,267.04843
230,1,251.65639,246.2842
231,0,368.73398,271.91537
231,1,255.95424,278.25797
232,0,376.15543,275.88126
232,1,270.19052,313.09244
233,0,380.2076,275.2558
233,1,279.18,326.82263
234,0,385.5951,277.4107
234,1,303.74005,356.98834
235,0,390.73184,280.05185
235,1,334.9787,377.86197
236,0,399.0699,283.17984
236,1,393.65634,393.3831
237,0,405.8905,285.02808
237,1,431.64346,391.23602
238,0,413.49374,286.17276
238,1,469.65274,379.99146
239,0,423.24683,287.86884
239,1,499.06607,364.74142
240,0,427.59665,287.9416
240,1,512.9089,352.98044
241,0,438.2816,288.3251
241,1,538.6928,330.2413
242,0,449.87564,287.9203
242,1,557.1115,305.2521
243,0,466.57822,286.07785
243,1,574.8441,273.1341
244,0,478.9769,283.01123
244,1,582.32184,250.9191
245,0,491.53793,277.55203
245,1,588.888,232.35048
246,0,498.44318,275.02322
246,1,590.6816,220.4163
247,0,508.80466,268.44702
247,1,595.4554,205.68803
248,0,519.9842,262.3283
248,1,599.6916,189.77829
249,0,533.20416,251.52771
249,1,603.90015,169.32048
250,0,540.71625,244.12914
250,1,606.0003,158.2259
251,0,547.2547,237.66917
251,1,608.67126,148.1648
252,0,552.0801,233.5844
252,1,610.2141,142.92123
253,0,556.07404,226.26569
253,1,612.8615,133.54211
254,0,561.68274,219.90251
254,1,616.596,126.79117
255,0,567.15826,211.39436
255,1,620.3987,117.55248
256,0,568.504,205.48912
256,1,623.64264,112.556335
257,0,570.4409,201.40582
257,1,626.0529,109.18705
258,0,572.86664,198.21503
258,1,629.28424,106.276024
259,0,572.795,195.04823
259,1,632.0034,105.39317
260,0,573.05133,193.96707
260,1,635.58496,104.87987
261,0,573.9111,193.84035
261,1,636.95056,105.63778
262,0,574.5564,193.53076
262,1,641.16425,109.654976
263,0,573.10944,194.402
263,1,643.4348,113.085236
264,0,571.96204,197.37737
264,1,645.5402,118.90959
265,0,570.64386,200.96912
265,1,647.59076,125.57074
266,0,569.80756,202.39337
266,1,649.16766,128.80363
267,0,568.898,206.08589
267,1,651.2946,137.29988
268,0,565.96295,212.83209
268,1,652.2129,148.62129
269,0,560.7609,220.73393
269,1,653.92456,166.17969
270,0,555.25995,226.69955
270,1,653.74963,180.19669
271,0,552.4249,229.35706
271,1,652.11316,188.66132
272,0,547.65063,236.03786
272,1,650.75934,205.4138
273,0,538.4018,246.57698
273,1,644.6587,235.32866
274,0,530.5484,252.48584
274,1,637.9919,254.73587
275,0,522.7534,259.83966
275,1,628.68695,275.7683
276,0,514.4172,266.3099
276,1,617.6259,296.66382
277,0,505.59045,271.57376
277,1,601.47125,320.70627
278,0,494.65768,276.6343
278,1,581.32825,340.79196
279,0,484.59982,280.10883
279,1,558.51324,360.07623
280,0,474.34668,283.16135
280,1,530.01636,376.308
281,0,469.55768,284.54956
281,1,514.0892,383.466
282,0,459.09366,286.7205
282,1,482.53677,393.7346
